easting,northing,elev,conductivity
805760.4,7026737.3,508.2,64.14368
805760.4,7026737.3,506.2,64.30868000000001
805760.4,7026737.3,503.9,65.40222
805760.4,7026737.3,501.3,69.54103
805760.4,7026737.3,498.4,79.30214000000002
805760.4,7026737.3,495.0,93.02326
805760.4,7026737.3,491.2,95.60229
805760.4,7026737.3,486.9,83.75209
805760.4,7026737.3,482.0,82.85004
805760.4,7026737.3,476.4,120.84591999999999
805760.4,7026737.3,470.0,230.20257999999998
805760.4,7026737.3,462.7,145.96409
805760.4,7026737.3,454.4,39.57262
805760.4,7026737.3,445.0,14.009529999999998
805760.4,7026737.3,434.3,7.33138
805760.4,7026737.3,422.1,5.57414
805760.4,7026737.3,408.2,5.665719999999999
805760.4,7026737.3,392.4,6.2893099999999995
805760.4,7026737.3,374.4,5.7971
805760.4,7026737.3,353.9,6.81199
805760.4,7026737.3,330.6,9.83284
805760.4,7026737.3,304.1,17.54694
805760.4,7026737.3,274.0,39.07776
805760.4,7026737.3,239.7,103.16723
805760.4,7026737.3,200.7,225.83559
805760.4,7026737.3,156.3,256.41026
805760.4,7026737.3,105.8,
805760.4,7026737.3,48.3,
805760.4,7026737.3,-17.1,
805760.4,7026737.3,-91.6,
805759.2,7026771.4,508.3,65.35948
805759.2,7026771.4,506.3,65.35948
805759.2,7026771.4,504.0,65.78947
805759.2,7026771.4,501.4,69.1085
805759.2,7026771.4,498.5,78.5546
805759.2,7026771.4,495.1,93.45794000000001
805759.2,7026771.4,491.3,98.13543
805759.2,7026771.4,487.0,86.2069
805759.2,7026771.4,482.1,83.12552
805759.2,7026771.4,476.5,116.41443999999998
805759.2,7026771.4,470.1,217.77003
805759.2,7026771.4,462.8,154.96668
805759.2,7026771.4,454.5,43.17789000000001
805759.2,7026771.4,445.1,15.19295
805759.2,7026771.4,434.4,7.89889
805759.2,7026771.4,422.2,5.98086
805759.2,7026771.4,408.3,6.39795
805759.2,7026771.4,392.5,6.0204699999999995
805759.2,7026771.4,374.5,6.00601
805759.2,7026771.4,354.0,6.9348100000000015
805759.2,7026771.4,330.7,9.74659
805759.2,7026771.4,304.2,16.82086
805759.2,7026771.4,274.1,35.98417
805759.2,7026771.4,239.8,91.82736
805759.2,7026771.4,200.8,205.63438
805759.2,7026771.4,156.4,219.29825
805759.2,7026771.4,105.9,
805759.2,7026771.4,48.4,
805759.2,7026771.4,-17.0,
805759.2,7026771.4,-91.5,
805759.3,7026805.7,508.3,64.72492
805759.3,7026805.7,506.3,65.18905
805759.3,7026805.7,504.0,66.0502
805759.3,7026805.7,501.4,69.58941999999999
805759.3,7026805.7,498.5,78.98894
805759.3,7026805.7,495.1,93.63296
805759.3,7026805.7,491.3,99.10803
805759.3,7026805.7,487.0,88.10573000000002
805759.3,7026805.7,482.1,85.03401
805759.3,7026805.7,476.5,116.72698000000001
805759.3,7026805.7,470.1,208.37675
805759.3,7026805.7,462.8,154.22579
805759.3,7026805.7,454.5,46.64179
805759.3,7026805.7,445.1,16.84352
805759.3,7026805.7,434.4,8.73362
805759.3,7026805.7,422.2,6.51466
805759.3,7026805.7,408.3,6.6269100000000005
805759.3,7026805.7,392.5,6.08643
805759.3,7026805.7,374.5,6.39795
805759.3,7026805.7,354.0,7.17875
805759.3,7026805.7,330.7,9.78474
805759.3,7026805.7,304.2,16.28399
805759.3,7026805.7,274.1,33.38898
805759.3,7026805.7,239.8,82.03445
805759.3,7026805.7,200.8,185.77002
805759.3,7026805.7,156.4,210.57065
805759.3,7026805.7,105.9,
805759.3,7026805.7,48.4,
805759.3,7026805.7,-17.0,
805759.3,7026805.7,-91.5,
805760.5,7026839.8,508.4,64.55778000000001
805760.5,7026839.8,506.4,65.96306
805760.5,7026839.8,504.1,67.79661
805760.5,7026839.8,501.5,71.68459
805760.5,7026839.8,498.6,80.12821
805760.5,7026839.8,495.2,92.1659
805760.5,7026839.8,491.4,96.15385
805760.5,7026839.8,487.1,86.88096999999998
805760.5,7026839.8,482.2,84.45945999999998
805760.5,7026839.8,476.6,112.05736999999999
805760.5,7026839.8,470.2,190.62143
805760.5,7026839.8,462.9,162.02203
805760.5,7026839.8,454.6,54.97526
805760.5,7026839.8,445.2,20.19386
805760.5,7026839.8,434.5,10.27432
805760.5,7026839.8,422.3,7.36377
805760.5,7026839.8,408.4,6.76133
805760.5,7026839.8,392.6,6.39386
805760.5,7026839.8,374.6,7.08215
805760.5,7026839.8,354.1,7.507510000000001
805760.5,7026839.8,330.8,9.861930000000001
805760.5,7026839.8,304.3,15.73069
805760.5,7026839.8,274.2,30.599759999999996
805760.5,7026839.8,239.9,71.22507
805760.5,7026839.8,200.9,161.9171
805760.5,7026839.8,156.5,195.73301999999998
805760.5,7026839.8,106.0,
805760.5,7026839.8,48.5,
805760.5,7026839.8,-16.9,
805760.5,7026839.8,-91.4,
805761.9,7026873.6,508.5,60.67961
805761.9,7026873.6,506.5,63.29114000000001
805761.9,7026873.6,504.2,66.75567
805761.9,7026873.6,501.6,71.78751
805761.9,7026873.6,498.7,79.49126
805761.9,7026873.6,495.3,88.57396
805761.9,7026873.6,491.5,91.24088
805761.9,7026873.6,487.2,84.88964
805761.9,7026873.6,482.3,84.03361
805761.9,7026873.6,476.7,107.95638999999998
805761.9,7026873.6,470.3,173.52074
805761.9,7026873.6,463.0,166.86133999999996
805761.9,7026873.6,454.7,65.91958000000001
805761.9,7026873.6,445.3,25.04383
805761.9,7026873.6,434.6,12.51408
805761.9,7026873.6,422.4,8.583689999999999
805761.9,7026873.6,408.5,7.38007
805761.9,7026873.6,392.7,6.9735
805761.9,7026873.6,374.7,7.8247300000000015
805761.9,7026873.6,354.2,8.06452
805761.9,7026873.6,330.9,10.21138
805761.9,7026873.6,304.4,15.57632
805761.9,7026873.6,274.3,28.645090000000003
805761.9,7026873.6,240.0,62.53909
805761.9,7026873.6,201.0,139.08206
805761.9,7026873.6,156.6,193.72336
805761.9,7026873.6,106.1,
805761.9,7026873.6,48.6,
805761.9,7026873.6,-16.8,
805761.9,7026873.6,-91.3,
805763.0,7026906.9,508.7,53.47594
805763.0,7026906.9,506.7,57.045069999999996
805763.0,7026906.9,504.4,62.46096
805763.0,7026906.9,501.8,69.8812
805763.0,7026906.9,498.9,78.5546
805763.0,7026906.9,495.5,86.35579
805763.0,7026906.9,491.7,88.49558
805763.0,7026906.9,487.4,84.10429
805763.0,7026906.9,482.5,83.8223
805763.0,7026906.9,476.9,103.08216
805763.0,7026906.9,470.5,155.64202
805763.0,7026906.9,463.2,167.84156000000004
805763.0,7026906.9,454.9,79.30214000000002
805763.0,7026906.9,445.5,31.776290000000003
805763.0,7026906.9,434.8,15.68874
805763.0,7026906.9,422.6,10.31672
805763.0,7026906.9,408.7,8.4674
805763.0,7026906.9,392.9,7.89266
805763.0,7026906.9,374.9,8.779630000000001
805763.0,7026906.9,354.4,8.96057
805763.0,7026906.9,331.1,10.9565
805763.0,7026906.9,304.6,16.01794
805763.0,7026906.9,274.5,27.88622
805763.0,7026906.9,240.2,56.78592
805763.0,7026906.9,201.2,120.42388999999999
805763.0,7026906.9,156.8,188.21758
805763.0,7026906.9,106.3,
805763.0,7026906.9,48.8,
805763.0,7026906.9,-16.6,
805763.0,7026906.9,-91.1,
805763.4,7026939.8,508.8,45.248870000000004
805763.4,7026939.8,506.8,48.92368
805763.4,7026939.8,504.5,55.92841
805763.4,7026939.8,501.9,66.18134
805763.4,7026939.8,499.0,77.33952
805763.4,7026939.8,495.6,85.5432
805763.4,7026939.8,491.8,87.7193
805763.4,7026939.8,487.5,84.81764
805763.4,7026939.8,482.6,84.38819000000002
805763.4,7026939.8,477.0,98.81423000000001
805763.4,7026939.8,470.6,140.07564
805763.4,7026939.8,463.3,163.29197
805763.4,7026939.8,455.0,92.1659
805763.4,7026939.8,445.6,39.920159999999996
805763.4,7026939.8,434.9,19.77066
805763.4,7026939.8,422.7,12.548630000000001
805763.4,7026939.8,408.8,9.88142
805763.4,7026939.8,393.0,9.04977
805763.4,7026939.8,375.0,9.84252
805763.4,7026939.8,354.5,10.12453
805763.4,7026939.8,331.2,12.0149
805763.4,7026939.8,304.7,16.88334
805763.4,7026939.8,274.6,27.94857
805763.4,7026939.8,240.3,53.3049
805763.4,7026939.8,201.3,106.33773000000001
805763.4,7026939.8,156.9,181.32366000000002
805763.4,7026939.8,106.4,
805763.4,7026939.8,48.9,
805763.4,7026939.8,-16.5,
805763.4,7026939.8,-91.0,
805762.9,7026972.3,508.8,39.69829
805762.9,7026972.3,506.8,43.59198
805762.9,7026972.3,504.5,51.97505
805762.9,7026972.3,501.9,64.59948
805762.9,7026972.3,499.0,77.57952
805762.9,7026972.3,495.6,85.17888
805762.9,7026972.3,491.8,87.0322
805762.9,7026972.3,487.5,86.05852
805762.9,7026972.3,482.6,86.58009
805762.9,7026972.3,477.0,97.27626
805762.9,7026972.3,470.6,127.43723999999999
805762.9,7026972.3,463.3,150.98898
805762.9,7026972.3,455.0,100.95911
805762.9,7026972.3,445.6,49.11591
805762.9,7026972.3,434.9,25.04383
805762.9,7026972.3,422.7,15.453560000000001
805762.9,7026972.3,408.8,11.716460000000001
805762.9,7026972.3,393.0,10.50862
805762.9,7026972.3,375.0,11.9403
805762.9,7026972.3,354.5,11.47579
805762.9,7026972.3,331.2,13.20306
805762.9,7026972.3,304.7,17.8444
805762.9,7026972.3,274.6,28.192840000000004
805762.9,7026972.3,240.3,50.658559999999994
805762.9,7026972.3,201.3,94.96676
805762.9,7026972.3,156.9,154.0832
805762.9,7026972.3,106.4,
805762.9,7026972.3,48.9,
805762.9,7026972.3,-16.5,
805762.9,7026972.3,-91.0,
805761.3,7027004.8,508.7,35.67606
805761.3,7027004.8,506.7,40.03203
805761.3,7027004.8,504.4,49.52947
805761.3,7027004.8,501.8,64.10256
805761.3,7027004.8,498.9,78.36991
805761.3,7027004.8,495.5,84.81764
805761.3,7027004.8,491.7,86.05852
805761.3,7027004.8,487.4,87.18396
805761.3,7027004.8,482.5,89.6861
805761.3,7027004.8,476.9,97.84736
805761.3,7027004.8,470.5,118.13349
805761.3,7027004.8,463.2,135.77733
805761.3,7027004.8,454.9,104.49320999999999
805761.3,7027004.8,445.5,59.276819999999994
805761.3,7027004.8,434.8,32.03075
805761.3,7027004.8,422.6,19.29757
805761.3,7027004.8,408.7,14.04889
805761.3,7027004.8,392.9,12.23242
805761.3,7027004.8,374.9,12.97185
805761.3,7027004.8,354.4,12.87664
805761.3,7027004.8,331.1,14.38021
805761.3,7027004.8,304.6,18.67065
805761.3,7027004.8,274.5,28.248590000000004
805761.3,7027004.8,240.2,48.23927
805761.3,7027004.8,201.2,85.98451999999996
805761.3,7027004.8,156.8,135.68521
805761.3,7027004.8,106.3,
805761.3,7027004.8,48.8,
805761.3,7027004.8,-16.6,
805761.3,7027004.8,-91.1,
805759.1,7027037.6,508.8,32.13368
805759.1,7027037.6,506.8,36.656890000000004
805759.1,7027037.6,504.5,46.38219
805759.1,7027037.6,501.9,61.84291999999999
805759.1,7027037.6,499.0,77.51938
805759.1,7027037.6,495.6,84.38819000000002
805759.1,7027037.6,491.8,86.2069
805759.1,7027037.6,487.5,89.20607
805759.1,7027037.6,482.6,92.85051
805759.1,7027037.6,477.0,97.08738000000001
805759.1,7027037.6,470.6,107.11225
805759.1,7027037.6,463.3,119.34598000000001
805759.1,7027037.6,455.0,106.14583999999999
805759.1,7027037.6,445.6,72.67442
805759.1,7027037.6,434.9,42.30118
805759.1,7027037.6,422.7,24.4858
805759.1,7027037.6,408.8,16.88334
805759.1,7027037.6,393.0,14.08252
805759.1,7027037.6,375.0,14.518
805759.1,7027037.6,354.5,13.95089
805759.1,7027037.6,331.2,15.12173
805759.1,7027037.6,304.7,18.839489999999998
805759.1,7027037.6,274.6,27.48763
805759.1,7027037.6,240.3,45.43389000000001
805759.1,7027037.6,201.3,79.17656
805759.1,7027037.6,156.9,125.01563
805759.1,7027037.6,106.4,
805759.1,7027037.6,48.9,
805759.1,7027037.6,-16.5,
805759.1,7027037.6,-91.0,
805756.6,7027070.9,509.0,28.620490000000004
805756.6,7027070.9,507.0,32.905559999999994
805756.6,7027070.9,504.7,42.087540000000004
805756.6,7027070.9,502.1,57.33945
805756.6,7027070.9,499.2,74.01925
805756.6,7027070.9,495.8,82.44023
805756.6,7027070.9,492.0,85.10638
805756.6,7027070.9,487.7,89.60573000000002
805756.6,7027070.9,482.8,94.33962
805756.6,7027070.9,477.2,95.41985
805756.6,7027070.9,470.8,97.37098
805756.6,7027070.9,463.5,105.8313
805756.6,7027070.9,455.2,106.75777
805756.6,7027070.9,445.8,89.0472
805756.6,7027070.9,435.1,56.433409999999995
805756.6,7027070.9,422.9,30.90235
805756.6,7027070.9,409.0,19.976029999999998
805756.6,7027070.9,393.2,15.80778
